frame,player_id,keypoint,x,y,confidence
0,1,nose,208.5724639892578,397.76611328125,0.9701502919197083
0,1,left_eye,215.42166137695312,393.4781799316406,0.9334331750869751
0,1,right_eye,202.52195739746094,392.14483642578125,0.9213603138923645
0,1,left_ear,227.5449981689453,396.84637451171875,0.8043683767318726
0,1,right_ear,192.75379943847656,394.3408203125,0.7418460845947266
0,1,left_shoulder,245.828857421875,424.13031005859375,0.9952908754348755
0,1,right_shoulder,176.77577209472656,418.42559814453125,0.9933218359947205
0,1,left_elbow,273.0867004394531,455.8217468261719,0.9785405397415161
0,1,right_elbow,147.7417755126953,449.86785888671875,0.9677985906600952
0,1,left_wrist,274.85797119140625,482.18133544921875,0.9559441804885864
0,1,right_wrist,140.65579223632812,483.8749084472656,0.9413360357284546
0,1,left_hip,224.81777954101562,486.33135986328125,0.9971862435340881
0,1,right_hip,181.2889404296875,480.8228759765625,0.9965819716453552
0,1,left_knee,226.15322875976562,553.7698974609375,0.9930912256240845
0,1,right_knee,177.5841522216797,535.5648193359375,0.9922062754631042
0,1,left_ankle,224.3708038330078,635.7937622070312,0.9747674465179443
0,1,right_ankle,184.65887451171875,608.04150390625,0.9740989804267883
1,1,nose,207.85882568359375,397.80023193359375,0.9702646136283875
1,1,left_eye,214.7208251953125,393.5496826171875,0.9346816539764404
1,1,right_eye,201.9095916748047,392.2008056640625,0.9201856851577759
1,1,left_ear,226.9053192138672,396.8572692871094,0.8098297119140625
1,1,right_ear,192.35507202148438,394.2932434082031,0.7364825010299683
1,1,left_shoulder,245.26153564453125,424.1335754394531,0.9954482913017273
1,1,right_shoulder,176.80615234375,418.3238220214844,0.9932577610015869
1,1,left_elbow,272.84881591796875,456.0707702636719,0.9794054627418518
1,1,right_elbow,147.8765106201172,449.06292724609375,0.9673177003860474
1,1,left_wrist,273.87091064453125,483.7303161621094,0.9572455883026123
1,1,right_wrist,140.01071166992188,482.1621398925781,0.9409000873565674
1,1,left_hip,224.76132202148438,486.50860595703125,0.9972814321517944
1,1,right_hip,181.6605987548828,480.98748779296875,0.996630847454071
1,1,left_knee,225.5682373046875,554.08544921875,0.9932896494865417
1,1,right_knee,177.4801025390625,536.548095703125,0.9922804832458496
1,1,left_ankle,223.62179565429688,635.56201171875,0.9752801656723022
1,1,right_ankle,184.32579040527344,608.988037109375,0.9742830395698547
2,1,nose,208.57142639160156,399.21429443359375,0.969540536403656
2,1,left_eye,215.18434143066406,394.7596435546875,0.9300198554992676
2,1,right_eye,202.4336395263672,393.42010498046875,0.9221729636192322
2,1,left_ear,226.7078399658203,397.3988037109375,0.792228639125824
2,1,right_ear,191.93072509765625,394.86663818359375,0.7497752904891968
2,1,left_shoulder,244.91326904296875,424.0690002441406,0.9950429201126099
2,1,right_shoulder,175.66815185546875,418.5833435058594,0.9934428930282593
2,1,left_elbow,272.2137756347656,456.532958984375,0.9772636294364929
2,1,right_elbow,147.18524169921875,450.8220520019531,0.9687902927398682
2,1,left_wrist,273.18115234375,484.62139892578125,0.9536389708518982
2,1,right_wrist,139.78302001953125,484.23760986328125,0.9425138831138611
2,1,left_hip,224.5911865234375,486.0702209472656,0.9970710277557373
2,1,right_hip,181.03286743164062,480.6040954589844,0.9965632557868958
2,1,left_knee,225.3695068359375,554.179931640625,0.9928158521652222
2,1,right_knee,177.34231567382812,535.7380981445312,0.9921534657478333
2,1,left_ankle,222.4120330810547,635.5343017578125,0.9739887714385986
2,1,right_ankle,184.28549194335938,607.1603393554688,0.9738309383392334
3,1,nose,208.14796447753906,399.673095703125,0.9685566425323486
3,1,left_eye,214.68896484375,395.13653564453125,0.9276857972145081
3,1,right_eye,202.03062438964844,393.74652099609375,0.9196900725364685
3,1,left_ear,226.19476318359375,397.3878173828125,0.788573145866394
3,1,right_ear,191.46157836914062,394.797119140625,0.7460634708404541
3,1,left_shoulder,244.84933471679688,423.6591491699219,0.9949851036071777
3,1,right_shoulder,174.90809631347656,418.21246337890625,0.9933698177337646
3,1,left_elbow,272.3218994140625,456.5925598144531,0.9772264957427979
3,1,right_elbow,146.47250366210938,451.498291015625,0.9687581062316895
3,1,left_wrist,272.2197265625,484.4700622558594,0.95367431640625
3,1,right_wrist,139.6719207763672,485.65496826171875,0.9424585700035095
3,1,left_hip,224.39808654785156,485.4948425292969,0.9970698356628418
3,1,right_hip,180.45001220703125,479.90411376953125,0.9965619444847107
3,1,left_knee,225.0407257080078,554.0145263671875,0.9928488731384277
3,1,right_knee,177.08465576171875,534.84033203125,0.9921830296516418
3,1,left_ankle,221.36672973632812,636.09326171875,0.9741005301475525
3,1,right_ankle,184.20440673828125,606.50341796875,0.973950207233429
4,1,nose,208.99246215820312,399.424560546875,0.9692881107330322
4,1,left_eye,215.30364990234375,394.80731201171875,0.9257262349128723
4,1,right_eye,202.6322021484375,393.5599365234375,0.9252346158027649
4,1,left_ear,226.24717712402344,397.02374267578125,0.7756018042564392
4,1,right_ear,191.36749267578125,394.7840881347656,0.7660184502601624
4,1,left_shoulder,244.95245361328125,423.56622314453125,0.9947299957275391
4,1,right_shoulder,173.98587036132812,418.7333984375,0.9938108325004578
4,1,left_elbow,272.5428771972656,456.75,0.9751905798912048
4,1,right_elbow,145.4771728515625,453.47979736328125,0.970811128616333
4,1,left_wrist,271.43487548828125,484.8079833984375,0.9502649307250977
4,1,right_wrist,139.71847534179688,491.0862121582031,0.9446343183517456
4,1,left_hip,223.82656860351562,485.701904296875,0.9968913197517395
4,1,right_hip,179.4521484375,480.456298828125,0.9965560436248779
4,1,left_knee,224.68609619140625,555.761962890625,0.992253839969635
4,1,right_knee,177.79998779296875,536.92333984375,0.9919993281364441
4,1,left_ankle,219.71377563476562,637.1239013671875,0.9719687104225159
4,1,right_ankle,184.70277404785156,607.7894287109375,0.9727826118469238
5,1,nose,209.419189453125,400.2025146484375,0.9698368906974792
5,1,left_eye,215.52700805664062,395.43927001953125,0.9264096617698669
5,1,right_eye,202.7355194091797,394.3362731933594,0.9276700019836426
5,1,left_ear,226.23306274414062,397.5284423828125,0.7718785405158997
5,1,right_ear,190.8997344970703,395.6897277832031,0.7713998556137085
5,1,left_shoulder,245.46466064453125,424.56109619140625,0.994530975818634
5,1,right_shoulder,173.86703491210938,419.4673156738281,0.9937122464179993
5,1,left_elbow,272.8283386230469,457.95050048828125,0.9739066958427429
5,1,right_elbow,145.25765991210938,453.09002685546875,0.9702478647232056
5,1,left_wrist,269.8160400390625,486.22259521484375,0.9482550024986267
5,1,right_wrist,139.0952606201172,489.7071533203125,0.9440048336982727
5,1,left_hip,224.42489624023438,486.9185791015625,0.9966048002243042
5,1,right_hip,179.80160522460938,481.3857727050781,0.9962878227233887
5,1,left_knee,223.99755859375,558.840087890625,0.9912904500961304
5,1,right_knee,177.992919921875,539.4484252929688,0.9910950660705566
5,1,left_ankle,218.14486694335938,639.947021484375,0.9681098461151123
5,1,right_ankle,184.10922241210938,609.5459594726562,0.969207227230072
6,1,nose,208.68455505371094,400.4506530761719,0.9720867276191711
6,1,left_eye,214.7047576904297,394.63677978515625,0.9561803936958313
6,1,right_eye,202.0489959716797,394.45947265625,0.9477826356887817
6,1,left_ear,223.83628845214844,395.39752197265625,0.7765464186668396
6,1,right_ear,191.3953399658203,394.82818603515625,0.7041445374488831
6,1,left_shoulder,241.31686401367188,421.992919921875,0.9949203133583069
6,1,right_shoulder,173.49652099609375,421.4014892578125,0.9965020418167114
6,1,left_elbow,268.239990234375,458.91265869140625,0.9776401519775391
6,1,right_elbow,148.14828491210938,457.7619934082031,0.980245053768158
6,1,left_wrist,272.8384094238281,483.1739501953125,0.9634045362472534
6,1,right_wrist,143.99278259277344,485.53741455078125,0.9634311199188232
6,1,left_hip,224.3022918701172,491.06634521484375,0.9967735409736633
6,1,right_hip,181.51446533203125,490.1523742675781,0.9973248243331909
6,1,left_knee,224.34133911132812,554.8031005859375,0.9913282990455627
6,1,right_knee,176.17926025390625,553.4210815429688,0.9913493394851685
6,1,left_ankle,216.0822296142578,624.2199096679688,0.9722092151641846
6,1,right_ankle,176.84815979003906,623.0545043945312,0.9719531536102295
7,1,nose,208.166259765625,401.60076904296875,0.97171550989151
7,1,left_eye,213.99188232421875,395.72283935546875,0.9540687799453735
7,1,right_eye,201.3355255126953,395.63775634765625,0.9488714337348938
7,1,left_ear,222.85015869140625,396.241455078125,0.7617103457450867
7,1,right_ear,190.24496459960938,395.902587890625,0.7168442606925964
7,1,left_shoulder,240.40780639648438,422.3418884277344,0.9946276545524597
7,1,right_shoulder,172.415283203125,422.32086181640625,0.9964466691017151
7,1,left_elbow,268.2956848144531,457.7956848144531,0.9756549596786499
7,1,right_elbow,146.8154296875,458.0661926269531,0.9801075458526611
7,1,left_wrist,272.9950256347656,481.3926696777344,0.9607359170913696
7,1,right_wrist,143.0172119140625,485.439697265625,0.9630670547485352
7,1,left_hip,224.2393798828125,491.607177734375,0.9965860843658447
7,1,right_hip,181.4971466064453,491.0315246582031,0.9972317814826965
7,1,left_knee,223.87252807617188,553.6718139648438,0.9908842444419861
7,1,right_knee,176.9431610107422,552.6813354492188,0.9911532998085022
7,1,left_ankle,213.48826599121094,622.6351928710938,0.9713080525398254
7,1,right_ankle,176.45298767089844,622.0403442382812,0.9716562628746033
8,1,nose,207.63568115234375,401.8051452636719,0.9724285006523132
8,1,left_eye,213.4734649658203,395.86773681640625,0.9543452858924866
8,1,right_eye,200.72802734375,395.8260803222656,0.9507662653923035
8,1,left_ear,222.3294677734375,396.3836364746094,0.7589014172554016
8,1,right_ear,189.38485717773438,396.15228271484375,0.7265902757644653
